2025-11-28 17:39:04,146 - INFO - Loading sample posts...
2025-11-28 17:39:04,221 - INFO - Loaded 10,000 posts for scoring
2025-11-28 17:39:04,222 - INFO - Scoring 10,000 posts at ~1 request/sec...
2025-11-28 17:41:10,743 - INFO - >>> 100 / 10,000 scored
2025-11-28 17:43:18,612 - INFO - >>> 200 / 10,000 scored
2025-11-28 17:45:27,842 - INFO - >>> 300 / 10,000 scored
2025-11-28 17:47:36,111 - INFO - >>> 400 / 10,000 scored
2025-11-28 17:49:43,937 - INFO - >>> 500 / 10,000 scored
2025-11-28 17:51:52,876 - INFO - >>> 600 / 10,000 scored
2025-11-28 17:54:01,045 - INFO - >>> 700 / 10,000 scored
2025-11-28 17:56:09,075 - INFO - >>> 800 / 10,000 scored
2025-11-28 17:58:17,203 - INFO - >>> 900 / 10,000 scored
2025-11-28 18:00:25,219 - INFO - >>> 1,000 / 10,000 scored
2025-11-28 18:02:34,531 - INFO - >>> 1,100 / 10,000 scored
2025-11-28 18:04:43,107 - INFO - >>> 1,200 / 10,000 scored
2025-11-28 18:06:52,710 - INFO - >>> 1,300 / 10,000 scored
2025-11-28 18:09:01,392 - INFO - >>> 1,400 / 10,000 scored
2025-11-28 18:11:10,424 - INFO - >>> 1,500 / 10,000 scored
2025-11-28 18:13:19,066 - INFO - >>> 1,600 / 10,000 scored
2025-11-28 18:15:27,558 - INFO - >>> 1,700 / 10,000 scored
2025-11-28 18:17:36,354 - INFO - >>> 1,800 / 10,000 scored
2025-11-28 18:19:44,581 - INFO - >>> 1,900 / 10,000 scored
2025-11-28 18:21:53,524 - INFO - >>> 2,000 / 10,000 scored
2025-11-28 18:24:02,418 - INFO - >>> 2,100 / 10,000 scored
2025-11-28 18:26:09,388 - INFO - >>> 2,200 / 10,000 scored
2025-11-28 18:28:18,215 - INFO - >>> 2,300 / 10,000 scored
2025-11-28 18:30:25,971 - INFO - >>> 2,400 / 10,000 scored
2025-11-28 18:32:36,527 - INFO - >>> 2,500 / 10,000 scored
2025-11-28 18:34:45,424 - INFO - >>> 2,600 / 10,000 scored
2025-11-28 18:36:54,347 - INFO - >>> 2,700 / 10,000 scored
2025-11-28 18:39:03,679 - INFO - >>> 2,800 / 10,000 scored
2025-11-28 18:41:13,179 - INFO - >>> 2,900 / 10,000 scored
2025-11-28 18:43:21,872 - INFO - >>> 3,000 / 10,000 scored
2025-11-28 18:45:31,408 - INFO - >>> 3,100 / 10,000 scored
2025-11-28 18:47:40,145 - INFO - >>> 3,200 / 10,000 scored
2025-11-28 18:49:48,587 - INFO - >>> 3,300 / 10,000 scored
2025-11-28 18:51:56,946 - INFO - >>> 3,400 / 10,000 scored
2025-11-28 18:54:06,503 - INFO - >>> 3,500 / 10,000 scored
2025-11-28 18:56:14,737 - INFO - >>> 3,600 / 10,000 scored
2025-11-28 18:58:24,126 - INFO - >>> 3,700 / 10,000 scored
2025-11-28 19:00:32,909 - INFO - >>> 3,800 / 10,000 scored
2025-11-28 19:02:43,053 - INFO - >>> 3,900 / 10,000 scored
2025-11-28 19:04:52,187 - INFO - >>> 4,000 / 10,000 scored
2025-11-28 19:07:01,667 - INFO - >>> 4,100 / 10,000 scored
2025-11-28 19:09:10,185 - INFO - >>> 4,200 / 10,000 scored
2025-11-28 19:11:18,666 - INFO - >>> 4,300 / 10,000 scored
2025-11-28 19:13:28,676 - INFO - >>> 4,400 / 10,000 scored
2025-11-28 19:15:38,820 - INFO - >>> 4,500 / 10,000 scored
2025-11-28 19:17:47,862 - INFO - >>> 4,600 / 10,000 scored
2025-11-28 19:19:56,045 - INFO - >>> 4,700 / 10,000 scored
2025-11-28 19:22:07,793 - INFO - >>> 4,800 / 10,000 scored
2025-11-28 19:24:17,570 - INFO - >>> 4,900 / 10,000 scored
2025-11-28 19:26:26,960 - INFO - >>> 5,000 / 10,000 scored
2025-11-28 19:28:36,198 - INFO - >>> 5,100 / 10,000 scored
2025-11-28 19:30:46,193 - INFO - >>> 5,200 / 10,000 scored
2025-11-28 19:32:55,180 - INFO - >>> 5,300 / 10,000 scored
2025-11-28 19:35:03,407 - INFO - >>> 5,400 / 10,000 scored
2025-11-28 19:37:12,856 - INFO - >>> 5,500 / 10,000 scored
2025-11-28 19:39:22,772 - INFO - >>> 5,600 / 10,000 scored
2025-11-28 19:41:32,004 - INFO - >>> 5,700 / 10,000 scored
2025-11-28 19:43:41,425 - INFO - >>> 5,800 / 10,000 scored
2025-11-28 19:45:50,267 - INFO - >>> 5,900 / 10,000 scored
2025-11-28 19:47:58,984 - INFO - >>> 6,000 / 10,000 scored
2025-11-28 19:50:09,192 - INFO - >>> 6,100 / 10,000 scored
2025-11-28 19:52:19,577 - INFO - >>> 6,200 / 10,000 scored
2025-11-28 19:54:29,880 - INFO - >>> 6,300 / 10,000 scored
2025-11-28 19:56:39,384 - INFO - >>> 6,400 / 10,000 scored
2025-11-28 19:58:48,483 - INFO - >>> 6,500 / 10,000 scored
2025-11-28 20:00:57,903 - INFO - >>> 6,600 / 10,000 scored
2025-11-28 20:03:05,585 - INFO - >>> 6,700 / 10,000 scored
2025-11-28 20:05:14,115 - INFO - >>> 6,800 / 10,000 scored
2025-11-28 20:07:23,179 - INFO - >>> 6,900 / 10,000 scored
2025-11-28 20:09:30,842 - INFO - >>> 7,000 / 10,000 scored
2025-11-28 20:11:40,368 - INFO - >>> 7,100 / 10,000 scored
2025-11-28 20:13:49,969 - INFO - >>> 7,200 / 10,000 scored
2025-11-28 20:15:58,624 - INFO - >>> 7,300 / 10,000 scored
2025-11-28 20:18:06,799 - INFO - >>> 7,400 / 10,000 scored
2025-11-28 20:20:15,871 - INFO - >>> 7,500 / 10,000 scored
2025-11-28 20:22:25,545 - INFO - >>> 7,600 / 10,000 scored
2025-11-28 20:24:35,137 - INFO - >>> 7,700 / 10,000 scored
2025-11-28 20:26:43,845 - INFO - >>> 7,800 / 10,000 scored
2025-11-28 20:28:53,443 - INFO - >>> 7,900 / 10,000 scored
2025-11-28 20:31:03,773 - INFO - >>> 8,000 / 10,000 scored
2025-11-28 20:33:13,457 - INFO - >>> 8,100 / 10,000 scored
2025-11-28 20:35:23,774 - INFO - >>> 8,200 / 10,000 scored
2025-11-28 20:37:32,856 - INFO - >>> 8,300 / 10,000 scored
2025-11-28 20:39:41,868 - INFO - >>> 8,400 / 10,000 scored
2025-11-28 20:41:50,283 - INFO - >>> 8,500 / 10,000 scored
2025-11-28 20:43:58,340 - INFO - >>> 8,600 / 10,000 scored
2025-11-28 20:46:08,004 - INFO - >>> 8,700 / 10,000 scored
2025-11-28 20:48:16,770 - INFO - >>> 8,800 / 10,000 scored
2025-11-28 20:50:27,008 - INFO - >>> 8,900 / 10,000 scored
2025-11-28 20:52:35,514 - INFO - >>> 9,000 / 10,000 scored
2025-11-28 20:54:43,848 - INFO - >>> 9,100 / 10,000 scored
2025-11-28 20:56:52,584 - INFO - >>> 9,200 / 10,000 scored
2025-11-28 20:59:01,757 - INFO - >>> 9,300 / 10,000 scored
2025-11-28 21:01:10,022 - INFO - >>> 9,400 / 10,000 scored
2025-11-28 21:03:18,874 - INFO - >>> 9,500 / 10,000 scored
2025-11-28 21:05:27,841 - INFO - >>> 9,600 / 10,000 scored
2025-11-28 21:07:37,094 - INFO - >>> 9,700 / 10,000 scored
2025-11-28 21:09:45,632 - INFO - >>> 9,800 / 10,000 scored
2025-11-28 21:11:54,364 - INFO - >>> 9,900 / 10,000 scored
2025-11-28 21:14:03,770 - INFO - >>> 10,000 / 10,000 scored
2025-11-28 21:14:04,823 - INFO - Scoring complete — saving file...
2025-11-28 21:14:04,855 - INFO - Saved toxicity scores → data/scored/toxicity.parquet
2025-11-28 21:14:04,855 - INFO - Done.
2025-11-29 11:54 - INFO - Starting toxicity scoring...
2025-11-29 11:54 - INFO - Found 10,000 posts to score.
2025-11-29 11:56 - INFO - >>> 100 / 10,000 scored.
2025-11-29 11:58 - INFO - >>> 200 / 10,000 scored.
2025-11-29 12:00 - INFO - >>> 300 / 10,000 scored.
2025-11-29 12:03 - INFO - >>> 400 / 10,000 scored.
2025-11-29 12:05 - INFO - >>> 500 / 10,000 scored.
2025-11-29 12:07 - INFO - >>> 600 / 10,000 scored.
2025-11-29 12:09 - INFO - >>> 700 / 10,000 scored.
2025-11-29 12:11 - INFO - >>> 800 / 10,000 scored.
2025-11-29 12:14 - INFO - >>> 900 / 10,000 scored.
2025-11-29 12:16 - INFO - >>> 1,000 / 10,000 scored.
2025-11-29 12:18 - INFO - >>> 1,100 / 10,000 scored.
2025-11-29 12:20 - INFO - >>> 1,200 / 10,000 scored.
2025-11-29 12:22 - INFO - >>> 1,300 / 10,000 scored.
2025-11-29 12:24 - INFO - >>> 1,400 / 10,000 scored.
2025-11-29 12:27 - INFO - >>> 1,500 / 10,000 scored.
2025-11-29 12:29 - INFO - >>> 1,600 / 10,000 scored.
2025-11-29 12:31 - INFO - >>> 1,700 / 10,000 scored.
2025-11-29 12:33 - INFO - >>> 1,800 / 10,000 scored.
2025-11-29 12:35 - INFO - >>> 1,900 / 10,000 scored.
2025-11-29 12:38 - INFO - >>> 2,000 / 10,000 scored.
2025-11-29 12:40 - INFO - >>> 2,100 / 10,000 scored.
2025-11-29 12:42 - INFO - >>> 2,200 / 10,000 scored.
2025-11-29 12:44 - INFO - >>> 2,300 / 10,000 scored.
2025-11-29 12:46 - INFO - >>> 2,400 / 10,000 scored.
2025-11-29 12:49 - INFO - >>> 2,500 / 10,000 scored.
2025-11-29 12:51 - INFO - >>> 2,600 / 10,000 scored.
2025-11-29 12:53 - INFO - >>> 2,700 / 10,000 scored.
2025-11-29 12:55 - INFO - >>> 2,800 / 10,000 scored.
2025-11-29 12:57 - INFO - >>> 2,900 / 10,000 scored.
2025-11-29 12:59 - INFO - >>> 3,000 / 10,000 scored.
2025-11-29 13:02 - INFO - >>> 3,100 / 10,000 scored.
2025-11-29 13:04 - INFO - >>> 3,200 / 10,000 scored.
2025-11-29 13:06 - INFO - >>> 3,300 / 10,000 scored.
2025-11-29 13:08 - INFO - >>> 3,400 / 10,000 scored.
2025-11-29 13:10 - INFO - >>> 3,500 / 10,000 scored.
2025-11-29 13:13 - INFO - >>> 3,600 / 10,000 scored.
2025-11-29 13:15 - INFO - >>> 3,700 / 10,000 scored.
2025-11-29 13:17 - INFO - >>> 3,800 / 10,000 scored.
2025-11-29 13:19 - INFO - >>> 3,900 / 10,000 scored.
2025-11-29 13:21 - INFO - >>> 4,000 / 10,000 scored.
2025-11-29 13:24 - INFO - >>> 4,100 / 10,000 scored.
2025-11-29 13:26 - INFO - >>> 4,200 / 10,000 scored.
2025-11-29 13:28 - INFO - >>> 4,300 / 10,000 scored.
2025-11-29 13:30 - INFO - >>> 4,400 / 10,000 scored.
2025-11-29 13:32 - INFO - >>> 4,500 / 10,000 scored.
2025-11-29 13:35 - INFO - >>> 4,600 / 10,000 scored.
2025-11-29 13:37 - INFO - >>> 4,700 / 10,000 scored.
2025-11-29 13:39 - INFO - >>> 4,800 / 10,000 scored.
2025-11-29 13:41 - INFO - >>> 4,900 / 10,000 scored.
2025-11-29 13:43 - INFO - >>> 5,000 / 10,000 scored.
2025-11-29 13:45 - INFO - >>> 5,100 / 10,000 scored.
2025-11-29 13:48 - INFO - >>> 5,200 / 10,000 scored.
2025-11-29 13:50 - INFO - >>> 5,300 / 10,000 scored.
2025-11-29 13:52 - INFO - >>> 5,400 / 10,000 scored.
2025-11-29 13:54 - INFO - >>> 5,500 / 10,000 scored.
2025-11-29 13:56 - INFO - >>> 5,600 / 10,000 scored.
2025-11-29 13:59 - INFO - >>> 5,700 / 10,000 scored.
2025-11-29 14:01 - INFO - >>> 5,800 / 10,000 scored.
2025-11-29 14:03 - INFO - >>> 5,900 / 10,000 scored.
2025-11-29 14:05 - INFO - >>> 6,000 / 10,000 scored.
2025-11-29 14:07 - INFO - >>> 6,100 / 10,000 scored.
2025-11-29 14:10 - INFO - >>> 6,200 / 10,000 scored.
2025-11-29 14:12 - INFO - >>> 6,300 / 10,000 scored.
2025-11-29 14:14 - INFO - >>> 6,400 / 10,000 scored.
2025-11-29 14:16 - INFO - >>> 6,500 / 10,000 scored.
2025-11-29 14:18 - INFO - >>> 6,600 / 10,000 scored.
2025-11-29 14:20 - INFO - >>> 6,700 / 10,000 scored.
2025-11-29 14:23 - INFO - >>> 6,800 / 10,000 scored.
2025-11-29 14:25 - INFO - >>> 6,900 / 10,000 scored.
2025-11-29 14:27 - INFO - >>> 7,000 / 10,000 scored.
2025-11-29 14:29 - INFO - >>> 7,100 / 10,000 scored.
2025-11-29 14:31 - INFO - >>> 7,200 / 10,000 scored.
2025-11-29 14:33 - INFO - >>> 7,300 / 10,000 scored.
2025-11-29 14:36 - INFO - >>> 7,400 / 10,000 scored.
2025-11-29 14:38 - INFO - >>> 7,500 / 10,000 scored.
2025-11-29 14:40 - INFO - >>> 7,600 / 10,000 scored.
2025-11-29 14:42 - INFO - >>> 7,700 / 10,000 scored.
2025-11-29 14:44 - INFO - >>> 7,800 / 10,000 scored.
2025-11-29 14:46 - INFO - >>> 7,900 / 10,000 scored.
2025-11-29 14:49 - INFO - >>> 8,000 / 10,000 scored.
2025-11-29 14:51 - INFO - >>> 8,100 / 10,000 scored.
2025-11-29 14:53 - INFO - >>> 8,200 / 10,000 scored.
2025-11-29 14:55 - INFO - >>> 8,300 / 10,000 scored.
2025-11-29 14:57 - INFO - >>> 8,400 / 10,000 scored.
2025-11-29 14:59 - INFO - >>> 8,500 / 10,000 scored.
2025-11-29 15:02 - INFO - >>> 8,600 / 10,000 scored.
2025-11-29 15:04 - INFO - >>> 8,700 / 10,000 scored.
2025-11-29 15:06 - INFO - >>> 8,800 / 10,000 scored.
2025-11-29 15:08 - INFO - >>> 8,900 / 10,000 scored.
2025-11-29 15:10 - INFO - >>> 9,000 / 10,000 scored.
2025-11-29 15:13 - INFO - >>> 9,100 / 10,000 scored.
2025-11-29 15:15 - INFO - >>> 9,200 / 10,000 scored.
2025-11-29 15:17 - INFO - >>> 9,300 / 10,000 scored.
2025-11-29 15:19 - INFO - >>> 9,400 / 10,000 scored.
2025-11-29 15:21 - INFO - >>> 9,500 / 10,000 scored.
2025-11-29 15:23 - INFO - >>> 9,600 / 10,000 scored.
2025-11-29 15:26 - INFO - >>> 9,700 / 10,000 scored.
2025-11-29 15:28 - INFO - >>> 9,800 / 10,000 scored.
2025-11-29 15:30 - INFO - >>> 9,900 / 10,000 scored.
2025-11-29 15:32 - INFO - >>> 10,000 / 10,000 scored.
2025-11-29 15:32 - INFO - All posts scored successfully.
2025-11-29 15:32 - INFO - Scoring complete.
